8.56	1.50	31.19
8.56	-0.25	30.75
7.75	1.19	31.19
9.00	0.75	30.37
7.75	0.37	31.19
7.19	0.56	30.69
6.37	0.56	30.69
7.19	1.00	30.25
6.75	0.56	31.06
5.00	0.06	31.37
4.25	0.00	31.19
8.50	-3.06	30.75
11.00	-9.06	30.25
12.75	-13.38	26.25
10.06	-14.19	26.19
6.87	-15.38	26.56
4.87	-15.56	27.19
6.25	-14.69	28.56
7.37	-13.38	29.50
9.06	-12.50	32.19
9.38	-12.06	33.88
12.19	-13.19	33.25
14.50	-11.88	34.00
14.25	-11.06	35.38
15.19	-10.69	36.56
15.88	-11.75	34.69
14.25	-12.56	36.38
14.69	-13.00	35.38
13.56	-11.06	36.75
15.06	-7.50	36.50
15.56	-6.75	37.56
16.37	-7.87	36.00
17.19	-10.75	36.19
19.87	-9.06	35.69
20.19	-9.06	34.50
21.25	-11.25	32.50
23.19	-14.19	31.19
23.87	-14.38	30.75
25.19	-12.69	29.19
27.37	-11.19	27.87
28.87	-10.56	27.19
29.19	-12.50	27.37
25.88	-10.50	30.37
26.37	-6.56	31.75
24.75	-2.37	32.50
21.69	4.19	34.75
15.56	14.87	35.25
7.50	20.19	35.50
-2.37	22.25	33.75
-9.38	22.75	33.38
-18.37	22.50	28.25
-24.00	20.75	26.25
-25.00	23.00	24.50
-23.87	24.06	24.50
-12.50	25.50	31.50
-0.25	24.50	33.50
10.06	19.25	34.69
15.38	13.75	36.38
15.75	8.56	36.06
7.87	9.00	37.69
4.56	7.75	40.50
-1.56	9.25	39.69
-3.06	10.69	39.19
-2.37	11.75	39.19
2.06	14.38	38.06
2.06	14.38	37.06
1.25	16.56	36.69
0.88	16.25	38.25
3.19	12.88	39.06
3.56	14.00	37.06
3.69	10.25	39.06
2.19	13.25	38.00
6.56	18.37	35.50
5.87	22.50	33.88
5.87	28.75	28.25
2.75	35.75	18.69
5.06	35.69	19.00
6.19	33.50	23.38
5.56	31.69	25.00
0.69	26.06	30.00
-11.88	22.00	32.88
-25.75	15.69	28.56
-36.25	9.69	19.06
-41.56	-6.00	-3.50
-37.38	-9.00	-16.87
-36.75	-9.38	-14.06
-41.06	0.06	5.87
-26.25	14.00	30.06
-6.37	18.75	35.19
7.25	20.69	34.50
12.88	18.87	33.00
18.75	17.50	31.00
23.25	16.25	28.69
23.69	12.56	30.25
23.25	10.38	31.50
24.00	9.00	31.50
25.19	6.69	30.19
25.19	8.19	29.87
25.19	9.25	28.56
26.56	10.38	29.00
25.75	12.25	29.50
17.69	15.50	31.87
5.50	18.37	35.88
-4.69	22.87	33.50
-8.75	25.06	31.50
-6.56	24.69	31.50
-3.69	22.37	34.38
-0.37	19.06	35.88
-4.37	19.06	34.75
-5.87	17.87	35.19
-10.69	16.06	35.56
-15.38	15.38	34.75
-9.06	16.87	35.19
-13.19	15.00	34.75
-15.88	9.75	36.00
-15.50	4.25	36.00
-14.75	5.06	36.75
-16.56	0.56	35.56
-18.87	-24.37	20.69
-7.87	-48.38	22.19
-1.75	-63.19	21.56
-5.37	-52.19	12.75
-8.25	-42.19	15.75
-14.00	-33.00	23.69
-15.38	-18.25	36.50
-13.88	9.19	39.69
-9.25	22.06	37.69
-1.56	18.69	40.88
-5.56	14.25	42.50
-5.25	10.19	43.69
-6.37	11.25	44.00
-7.06	11.00	43.69
-9.25	9.19	43.69
-10.06	10.19	43.25
-10.06	13.19	42.88
-7.50	15.75	42.75
-6.37	18.00	41.88
-4.87	20.19	41.06
-3.69	23.38	39.06
-1.50	25.25	37.50
0.37	26.06	37.50
-1.87	23.75	39.50
-4.00	19.37	41.88
-4.00	11.19	44.69
-1.87	9.38	45.88
2.19	10.50	45.50
-1.06	8.75	44.56
-11.19	9.19	43.75
-22.06	6.19	37.25
-31.87	-2.75	27.87
-31.06	-24.19	13.88
-19.37	-35.38	5.69
-9.38	-38.50	9.06
-1.56	-39.38	11.75
4.37	-35.88	21.87
5.06	-33.25	25.88
2.50	-31.69	27.19
-2.69	-30.88	28.19
-14.75	-29.37	27.75
-23.56	-25.00	25.00
-30.56	-17.00	25.37
-34.00	-7.00	27.37
-29.56	2.87	33.88
-26.06	8.06	36.25
-21.56	12.06	36.69
-16.06	16.56	38.69
-6.50	19.87	38.69
-0.56	21.37	40.38
4.56	19.87	38.69
8.25	19.87	37.56
12.69	18.00	37.56
19.00	17.25	35.50
21.19	16.19	34.69
23.38	13.19	33.88
23.06	13.25	35.06
19.00	18.50	35.00
17.50	21.50	35.00
10.88	21.87	37.38
4.19	22.25	37.25
-8.00	20.37	37.56
-21.00	21.56	31.87
-31.37	21.19	18.87
-34.38	20.75	8.56
-32.56	23.00	0.19
-31.50	23.87	-4.25
-30.69	21.25	-11.25
-27.37	17.19	-20.69
-20.00	6.50	-29.75
-14.06	-0.06	-34.38
-12.37	-1.56	-34.50
-11.19	-5.25	-35.25
-14.50	-3.50	-34.19
